id,name,adm1_code,AA_ODR,AA_FullDR,PercChangeODR,PercChangeFullDDR,White,Black,Hispanic,Total
1,Alabama,USA-3541,7.5,16.2,0.23,0.03,282,53,NSD,343
2,Alaska,USA-3563,12.5,16.8,0.14,0.05,70,NSD,NSD,94
3,Arizona,USA-3520,11.4,20.3,0.12,0.07,532,21,168,769
4,Arkansas,USA-3528,5.9,14,-0.18,0.01,159,NSD,NSD,169
5,California,USA-3521,4.9,11.2,0,-0.01,1397,137,372,2012
6,Colorado,USA-3522,9.5,16.6,0.09,0.08,408,11,105,536
7,Connecticut,USA-3537,24.5,27.4,0.28,0.24,677,54,111,855
8,Delaware,USA-3555,16.9,30.8,0.14,0.4,135,17,NSD,154
9,District of Columbia,USA-3556,30,38.8,1.07,1.09,21,177,NSD,209
10,Florida,USA-3542,14.4,23.7,0.53,0.46,2216,147,407,2798
11,Georgia,USA-3543,8.8,13.3,0.05,0.05,783,109,18,918
12,Hawaii,USA-3517,5.2,12.8,0.27,0.13,38,NSD,NSD,77
13,Idaho,USA-3518,7.4,15.2,0.23,0.07,110,NSD,NSD,119
14,Illinois,USA-3546,15.3,18.9,0.43,0.34,1230,438,204,1947
15,Indiana,USA-3547,12.6,24,0.48,0.23,706,69,15,794
16,Iowa,USA-3529,6.2,10.6,0.07,0.03,163,10,NSD,183
17,Kansas,USA-3530,5.1,11.1,-0.06,-0.06,133,NSD,NSD,146
18,Kentucky,USA-3548,23.6,33.5,0.12,0.12,918,58,12,989
19,Louisiana,USA-3535,7.7,21.8,0.22,0.15,264,64,14,346
20,Maine,USA-3561,25.2,28.7,0.31,0.35,289,NSD,NSD,301
21,Maryland,USA-3557,29.7,33.2,0.68,0.59,1189,560,47,1821
22,Massachusetts,USA-3513,29.7,33,0.27,0.28,1643,82,214,1990
23,Michigan,USA-3562,18.5,24.4,0.36,0.2,1376,269,80,1762
24,Minnesota,USA-3514,7.4,12.5,0.19,0.18,310,43,NSD,396
25,Mississippi,USA-3544,6.2,12.1,0.17,-0.02,157,19,NSD,180
26,Missouri,USA-3531,15.9,23.6,0.36,0.32,698,194,13,914
27,Montana,USA-3515,4.2,11.7,-0.16,-0.15,37,NSD,NSD,42
28,Nebraska,USA-3532,2.4,6.4,-0.23,-0.07,37,NSD,NSD,44
29,Nevada,USA-3523,13.3,21.7,-0.04,0.06,339,31,27,408
30,New Hampshire,USA-3538,35.8,39,0.14,0.14,416,NSD,11,437
31,New Jersey,USA-3558,16,23.2,0.63,0.42,1017,193,180,1409
32,New Mexico,USA-3524,17.5,25.2,-0.02,0,120,NSD,205,349
33,New York,USA-3559,15.1,18,0.4,0.32,2110,338,473,3009
34,North Carolina,USA-3549,15.4,19.7,0.29,0.25,1313,132,31,1506
35,North Dakota,USA-3516,7.6,10.6,0.58,0.23,44,NSD,NSD,54
36,Ohio,USA-3550,32.9,39.1,0.33,0.31,3217,322,63,3613
37,Oklahoma,USA-3533,11.6,21.5,0.04,0.13,356,23,11,444
38,Oregon,USA-3525,7.6,11.9,-0.04,-0.01,276,NSD,20,312
39,Pennsylvania,USA-3560,18.5,37.9,0.65,0.44,1989,152,60,2235
40,Rhode Island,USA-3539,26.7,30.8,0.14,0.09,248,NSD,22,279
41,South Carolina,USA-3545,13.1,18.1,0.15,0.15,581,41,NSD,628
42,South Dakota,USA-3534,5,8.4,0.43,0,39,NSD,NSD,42
43,Tennessee,USA-3551,18.1,24.5,0.13,0.1,1045,111,20,1186
44,Texas,USA-3536,4.9,10.1,0.04,0.07,920,101,329,1375
45,Utah,USA-3526,16.4,22.4,0.03,-0.04,423,NSD,30,466
46,Vermont,USA-3540,18.4,22.2,0.37,0.33,98,NSD,NSD,101
47,Virginia,USA-3552,13.5,16.7,0.36,0.35,886,188,31,1130
48,Washington,USA-3519,9.4,14.5,0.01,-0.01,575,32,44,709
49,West Virginia,USA-3554,43.4,52,0.21,0.25,694,34,NSD,733
50,Wisconsin,USA-3553,15.8,19.3,0.41,0.25,720,82,47,866
51,Wyoming,USA-3527,8.7,17.6,0.1,0.07,46,NSD,NSD,50
